Версия;AIDA64 v8.25.8200
Тип ЦП;4C+4c Intel Core i5-12450H, 4000 MHz (40 x 100)
Системная плата;Honor BRN-FXXC
Видеоадаптер;Intel Alder Lake-P GT1 - Integrated Graphics Controller
Отчёт начат;12.04.2026 20:16:33

Частота ядра ЦП 4;ЦП4;Ядро ЦП 4
MHz;%;°C
1995;9;40
1995;22;39
1995;100;39
1995;100;40
1995;100;36
1995;100;37
1995;100;40
1995;100;36
1995;100;39
1995;100;35
1995;100;38
1995;100;39
1995;100;37
1995;100;35
1995;100;39
1995;100;38
1995;100;39
1995;100;39
1995;100;40
1995;100;41
1995;100;37
1995;100;39
1995;100;37
1995;100;38
1995;100;39
1995;100;37
1995;100;37
1995;100;37
1995;100;38
1995;100;37
1995;100;37
1995;100;40
1995;100;37
1995;100;37
1995;100;37
1995;100;37
1995;100;37
1995;100;37
1995;100;38
1995;100;37
1995;100;37
1995;100;36
1995;100;39
1995;100;36
1995;100;39
1995;100;37
1995;100;37
1995;100;37
1995;99;37
1995;100;37
1995;100;37
1995;100;36
1995;100;35
1995;100;37
1995;100;37
1995;100;37
1995;100;37
1995;100;37
1995;100;37
1995;100;36
1995;100;36
1995;100;35
1995;100;37
1995;100;37
1995;100;37
1995;100;36
1995;100;35
1995;100;36
1995;100;36
1995;100;38
1995;100;36
1995;100;37
1995;100;37
1995;100;39
1995;100;37
1995;100;35
1995;100;37
1995;100;37
1995;100;37
1995;100;35
1995;100;38
1995;100;37
1995;100;37
1995;100;37
1995;100;35
1995;99;37
1995;100;35
1995;100;35
1995;100;39
1995;100;35
1995;100;36
1995;100;37
1995;100;36
1995;100;37
1995;100;40
1995;100;37
1995;100;36
1995;100;36
1995;100;36
1995;100;37
1995;100;37
1995;100;35
1995;100;37
1995;100;35
1995;99;36
1995;100;36
1995;100;36
1995;100;36
1995;100;37
1995;100;39
1995;100;36
1995;100;35
1995;100;35
1995;100;36
1995;100;41
1995;100;43
1995;100;48
1995;100;41
1995;100;36
1995;100;39
1995;100;39
1995;100;39
1995;100;36
1995;100;36
1995;100;39
1995;100;39
1995;100;37
1995;100;40
1995;100;39
1995;100;40
1995;100;39
1995;100;38
1696;100;36
1995;100;43
1995;100;37
1995;100;39
1995;100;39
1995;100;39
1995;100;40
1995;100;40
1995;100;39
1995;100;35
1995;100;35
1995;100;40
1995;100;39
1995;100;40
1995;100;40
1996;100;38
1995;100;39
1995;100;39
1995;100;39
1995;100;37
1995;100;40
1995;100;39
1995;100;39
1995;100;37
1995;100;36
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;37
1995;100;36
1995;100;35
1995;100;35
1995;100;39
1995;100;39
1995;100;40
1995;100;40
1995;100;39
1995;100;40
1995;100;40
1995;100;36
1995;100;38
1995;100;40
1995;100;37
1995;100;36
1995;100;39
1995;100;36
1995;100;36
1995;100;35
1796;100;40
1995;100;39
1995;100;40
1995;100;40
1995;100;37
1995;100;37
1995;100;39
1995;100;41
1995;100;40
1995;100;35
1995;100;39
1995;100;39
1995;100;37
1995;100;35
1995;100;36
1995;100;37
1995;100;39
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;37
1995;100;39
1995;100;41
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;39
1995;100;36
1995;100;39
1995;100;39
1995;100;39
1995;100;40
1995;100;45
1995;100;40
1995;100;40
1995;100;41
1995;100;39
1995;100;35
1996;100;35
1996;100;41
1995;100;40
1995;100;39
1995;100;41
1995;100;36
1995;100;39
1995;100;40
1995;100;37
1995;100;40
1995;100;37
1995;100;39
1995;100;40
1995;100;39
1995;100;41
1995;100;37
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;39
1995;100;39
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;39
1995;100;39
1995;100;37
1995;100;40
1995;100;37
1995;100;35
1995;100;35
1995;100;39
1995;100;39
1895;100;40
1995;100;39
1995;100;40
1995;100;39
1995;100;35
1995;100;39
1995;100;36
1995;100;40
1995;100;36
1995;100;40
1995;100;39
1995;100;40
1995;100;37
1995;99;36
1995;100;40
1995;100;37
1995;100;39
1995;100;39
1995;100;40
1995;100;40
1995;100;39
1995;100;36
1995;100;36
1995;100;36
1995;100;36
1995;100;40
1995;100;39
1995;100;39
1995;100;39
1995;100;39
1995;100;36
1995;100;39
1995;100;40
1995;100;37
1995;100;37
1995;100;40
1995;100;36
1995;100;37
1995;100;39
1995;100;39
1995;100;39
1995;100;41
1995;100;39
1995;100;39
1995;100;37
1995;100;39
1995;100;39
1995;100;36
1995;100;40
1995;100;39
1995;100;36
1995;100;40
1995;100;38
1995;100;39
1995;100;37
1995;100;40
1995;100;35
1995;100;36
1995;100;40
1995;100;39
1995;100;36
1995;100;39
1995;100;39
1995;100;39
1995;100;40
1995;100;39
1996;100;35
1995;100;39
1995;100;37
1995;100;39
1995;100;39
1995;100;39
1995;100;37
1397;100;38
1995;100;35
1995;100;36
1995;100;37
1995;100;37
1995;100;38
1995;100;39
1995;100;39
1995;100;37
1996;100;39
1995;100;39
1995;100;36
1995;100;39
1995;100;36
1995;100;40
1995;100;35
1995;100;39
1995;100;40
1995;100;40
1995;100;39
1995;100;40
1995;100;36
1995;100;38
1995;100;35
1995;100;40
1995;100;39
1995;100;38
1995;100;39
1995;100;36
1995;100;36
1995;100;36
1995;100;39
1995;100;39
1995;100;35
1995;100;40
1995;100;40
1995;100;36
1995;100;41
1995;100;37
1995;100;38
1995;100;39
1995;100;40
1995;100;37
1995;100;39
1995;100;38
1995;100;36
1995;100;37
1995;100;39
1995;100;37
1995;100;39
1995;100;38
1995;100;36
1995;100;39
1995;100;39
1995;100;38
1995;100;39
1995;100;40
1995;28;35
1995;51;38
1995;55;43
1995;42;44
1995;29;37
1995;30;39
1995;22;38
